gender,year_of_study,course_name,students_resident,challenge_storing_goods?,challenge,current_method_of_storage,renting_a_unit,ask_friends/family,carry_home,Other_method_of_storage?,type _of_belongings,clothing,study_materials,electronics,utensils,furniture,Other_belongings,duration_of_storage ,how_important_is_security,How_comfortable_using_online_platform,prefererence_of_ booking,preferred_method_of_payment,preferred_mode_of_communication,additional_feature_for_platform
Female,4,Mathematics and computer science,Outside the school,No,,Ask friends/family,0,1,0,0,Clothing Study materials Electronics Utensils Furniture,1,1,1,1,1,0,More than 8 weeks,Very important,Neutral,In person at the storage facility,M-pesa,SMS,
Female,4,B.Sc. Project Management,Outside the school,No,,Ask friends/family Carry them home,0,1,1,0,Clothing Study materials Electronics,1,1,1,0,0,0,3-4 weeks,Very important,Very comfortable,Online through the webapp,M-pesa,SMS,
Female,3,Bsc. Food Science and Technology,Outside the school,No,,Other,0,0,0,1,Furniture,0,0,0,0,1,0,5-6 weeks,Very important,Neutral,Online through the webapp,M-pesa,SMS,Storage location and Price listing
Male,3,BBIT,School hostels,Yes,my items were broken,Ask friends/family,0,1,0,0,Clothing Study materials Electronics,1,1,1,0,0,0,7-8 weeks,Very important,Comfortable,In person at the storage facility,M-pesa,SMS,none
Female,3,Project management,Outside the school,Yes,My table was broken,Renting a storage unit,1,0,0,0,Clothing Study materials Electronics Utensils,1,1,1,1,0,0,More than 8 weeks,Very important,Comfortable,In person at the storage facility,M-pesa,SMS,realtime monitoring
Male,1,BIT,School hostels,No,,Ask friends/family,0,1,0,0,Clothing,1,0,0,0,0,0,More than 8 weeks,Very important,Comfortable,In person at the storage facility,M-pesa,SMS,none
Female,4,cooperative management,Outside the school,Yes,My clothes got a bad smell,Renting a storage unit,1,0,0,0,Clothing Study materials Electronics Utensils Furniture,1,1,1,1,1,0,More than 8 weeks,Very important,Comfortable,In person at the storage facility,M-pesa,  In-app messages,Realtime monitoring
Male,5,Mechatronics,Outside the school,No,,Ask friends/family Carry them home,0,1,1,0,Clothing Study materials Electronics Utensils Furniture,1,1,1,1,1,0,More than 8 weeks,Very important,Comfortable,In person at the storage facility,M-pesa,SMS,more services such as house hunting for ease after the long holidays
Male,4,strategic management,Outside the school,No,,Renting a storage unit,1,0,0,0,Clothing Study materials Electronics Utensils Furniture,1,1,1,1,1,0,More than 8 weeks,Very important,Neutral,In person at the storage facility,M-pesa,SMS,none
Male,4,BBIT,Outside the school,Yes,my TV was broken,Renting a storage unit,1,0,0,0,Clothing Study materials Electronics Utensils Furniture,1,1,1,1,1,0,More than 8 weeks,Very important,Neutral,In person at the storage facility,M-pesa,SMS,pick up and delivery of the items
